aded25,gen25zm,gen25ac,gen25cs,gen25ea,gen25othr,gen25tot,win25
23001,78,662,346,1,7,1094,gen25ac
23002,75,627,369,1,6,1078,gen25ac
23003,33,184,157,0,2,376,gen25ac
23004,102,757,226,3,4,1092,gen25ac
23005,82,731,274,1,3,1091,gen25ac
23006,118,660,291,2,3,1074,gen25ac
23007,148,629,362,4,15,1158,gen25ac
23008,80,167,128,0,2,377,gen25ac
23009,76,97,55,0,1,229,gen25ac
23010,164,474,302,0,5,945,gen25ac
23011,269,234,82,3,2,590,gen25zm
23012,95,51,23,2,1,172,gen25zm
23013,208,168,81,0,2,459,gen25zm
23014,154,269,134,1,4,562,gen25ac
23015,127,252,116,1,4,500,gen25ac
23016,101,156,76,2,2,337,gen25ac
23017,62,318,209,2,3,594,gen25ac
23018,320,239,69,4,1,633,gen25zm
23019,45,25,4,0,2,76,gen25zm
23020,128,68,11,2,2,211,gen25zm
23021,111,239,16,2,5,373,gen25ac
23022,87,65,9,0,0,161,gen25zm
23023,70,197,29,6,4,306,gen25ac
23024,115,97,14,2,1,229,gen25zm
23025,156,384,27,6,3,576,gen25ac
23026,99,198,19,6,4,326,gen25ac
23027,56,680,15,3,3,757,gen25ac
23028,145,364,24,0,2,535,gen25ac
23029,9,839,12,2,0,862,gen25ac
23030,87,603,26,2,1,719,gen25ac
23031,198,452,27,2,0,679,gen25ac
23032,212,573,39,4,2,830,gen25ac
23033,91,606,266,0,0,963,gen25ac
23034,85,479,291,0,0,855,gen25ac
23035,64,500,261,0,0,825,gen25ac
23036,127,483,267,0,2,879,gen25ac
23037,171,389,287,1,4,852,gen25ac
23038,91,390,220,0,2,703,gen25ac
23039,24,16,3,0,0,43,gen25zm
23040,199,142,48,0,3,392,gen25zm
23041,165,243,111,0,1,520,gen25ac
23042,145,156,62,0,3,366,gen25ac
23043,12,7,0,0,0,19,gen25zm
23044,197,526,219,0,6,948,gen25ac
23045,95,333,159,1,1,589,gen25ac
23046,371,318,100,0,4,793,gen25zm
23047,164,238,135,1,3,541,gen25ac
23048,186,297,157,0,1,641,gen25ac
23049,242,313,128,0,1,684,gen25ac
23050,151,117,44,0,0,312,gen25zm
23051,185,147,51,1,4,388,gen25zm
23052,149,77,23,0,1,250,gen25zm
23053,493,136,36,1,1,667,gen25zm
23054,428,139,44,0,0,611,gen25zm
23055,128,64,23,0,1,216,gen25zm
23056,116,83,24,1,1,225,gen25zm
23057,157,96,45,2,0,300,gen25zm
23058,58,226,163,1,1,449,gen25ac
23059,27,254,113,0,0,394,gen25ac
23060,151,200,126,1,2,480,gen25ac
23061,0,0,0,0,0,0,Tie
23062,218,179,56,0,2,455,gen25zm
23063,146,116,21,1,2,286,gen25zm
23064,65,48,8,0,1,122,gen25zm
23065,206,128,17,2,4,357,gen25zm
23066,155,191,6,5,5,362,gen25ac
23067,0,0,0,0,0,0,Tie
23068,0,0,0,0,0,0,Tie
23069,0,0,0,0,0,0,Tie
23070,0,0,0,0,0,0,Tie
23071,0,0,0,0,0,0,Tie
23072,0,0,0,0,0,0,Tie
23073,0,0,0,0,0,0,Tie
23074,0,0,0,0,0,0,Tie
24001,95,40,16,0,1,152,gen25zm
24002,114,87,16,0,3,220,gen25zm
24003,289,153,43,0,7,492,gen25zm
24004,211,114,32,1,0,358,gen25zm
24005,167,136,19,1,0,323,gen25zm
24006,262,148,43,1,2,456,gen25zm
24007,194,110,38,2,1,345,gen25zm
24008,244,114,36,0,1,395,gen25zm
24009,164,99,13,0,0,276,gen25zm
24010,243,138,27,2,2,412,gen25zm
24011,207,114,20,1,2,344,gen25zm
24012,223,91,19,1,2,336,gen25zm
24013,290,158,26,1,2,477,gen25zm
24014,249,160,49,1,1,460,gen25zm
24015,229,148,29,0,1,407,gen25zm
24016,125,84,13,1,0,223,gen25zm
24017,20,0,0,0,0,20,gen25zm
24018,171,86,37,1,0,295,gen25zm
24019,252,127,41,1,1,422,gen25zm
24020,69,57,5,0,1,132,gen25zm
24021,147,194,53,2,1,397,gen25ac
24022,19,47,10,0,0,76,gen25ac
24023,166,111,13,0,1,291,gen25zm
24024,149,198,26,1,6,380,gen25ac
24025,78,72,24,0,0,174,gen25zm
24026,169,100,31,0,2,302,gen25zm
24027,246,62,8,0,0,316,gen25zm
24028,153,130,29,2,0,314,gen25zm
24029,263,149,41,0,0,453,gen25zm
24030,211,180,29,2,2,424,gen25zm
24031,286,240,56,2,2,586,gen25zm
24032,251,139,26,3,0,419,gen25zm
24033,7,27,3,0,0,37,gen25ac
24034,20,8,1,0,0,29,gen25zm
24035,152,71,10,0,0,233,gen25zm
24036,349,175,26,1,4,555,gen25zm
24037,208,54,15,1,1,279,gen25zm
24038,499,232,38,4,5,778,gen25zm
24039,252,224,45,0,2,523,gen25zm
24040,225,108,21,0,2,356,gen25zm
24041,69,18,8,0,0,95,gen25zm
24042,324,83,10,1,0,418,gen25zm
24043,445,148,58,0,2,653,gen25zm
24044,347,39,8,1,0,395,gen25zm
24045,73,45,4,0,0,122,gen25zm
24046,418,190,42,3,2,655,gen25zm
24047,338,220,34,2,5,599,gen25zm
24048,309,223,30,3,2,567,gen25zm
24049,90,941,46,0,1,1078,gen25ac
24050,22,279,21,0,0,322,gen25ac
24051,318,440,51,2,4,815,gen25ac
24052,377,347,37,3,1,765,gen25zm
24053,353,326,28,9,5,721,gen25zm
24054,65,37,8,1,0,111,gen25zm
24055,220,154,18,1,0,393,gen25zm
24056,264,275,74,0,7,620,gen25ac
24057,238,176,69,2,1,486,gen25zm
24058,172,543,60,0,3,778,gen25ac
24059,137,465,62,0,4,668,gen25ac
24060,238,610,123,2,6,979,gen25ac
24061,250,446,105,1,3,805,gen25ac
24062,185,549,119,1,7,861,gen25ac
24063,101,208,69,1,2,381,gen25ac
24064,180,381,119,1,2,683,gen25ac
24065,624,157,26,0,1,808,gen25zm
24066,0,0,0,0,0,0,Tie
25001,393,353,56,2,8,812,gen25zm
25002,340,323,52,3,6,724,gen25zm
25003,52,134,12,1,1,200,gen25ac
25004,161,133,34,3,4,335,gen25zm
25005,355,331,64,0,7,757,gen25zm
